tree_id,split,n_dets,n_sides,b3frac,naive_B1,naive_B2,naive_B3,naive_B4,gt_B1,gt_B2,gt_B3,gt_B4,M31_B1,M31_B2,M31_B3,M31_B4,M31_err_B1,M31_err_B2,M31_err_B3,M31_err_B4,M31_within1,M30_sa_within1,M30_sa_B1,M30_sa_B2,M30_sa_B3,M30_sa_B4,vis_within1,vis_B1,vis_B2,vis_B3,vis_B4,sid_within1,sid_B1,sid_B2,sid_B3,sid_B4,gmb_within1,gmb_B1,gmb_B2,gmb_B3,gmb_B4,med_within1,med_B1,med_B2,med_B3,med_B4,adp_within1,adp_B1,adp_B2,adp_B3,adp_B4
DAMIMAS_A21B_0012,test,16,4,0.4375,3,2,7,4,1,2,4,2,1,1,4,2,0,-1,0,0,True,True,2,1,4,2,True,2,1,4,2,True,2,1,4,2,True,1,1,4,2,True,2,1,4,2,True,1,1,4,2
DAMIMAS_A21B_0013,val,17,4,0.47058823529411764,0,2,8,7,0,1,4,4,0,1,4,4,0,0,0,0,True,True,0,1,4,4,True,0,1,4,4,True,0,1,4,4,True,0,1,4,4,True,0,1,4,4,True,0,1,4,4
DAMIMAS_A21B_0014,test,18,4,0.4444444444444444,2,2,8,6,1,1,4,3,1,1,4,3,0,0,0,0,True,True,1,1,4,4,True,1,1,4,3,True,1,1,4,3,True,1,1,4,3,True,1,1,4,3,True,1,1,4,4
DAMIMAS_A21B_0015,test,26,4,0.5384615384615384,3,2,14,7,1,1,7,4,2,1,7,4,1,0,0,0,True,True,2,1,8,4,True,2,1,7,4,True,2,1,7,4,True,2,1,7,4,True,2,1,7,4,True,2,1,8,4
DAMIMAS_A21B_0016,train,8,4,0.875,1,0,7,0,1,0,4,0,1,0,4,0,0,0,0,0,True,True,1,0,4,0,True,1,0,4,0,True,1,0,4,0,True,1,0,4,0,True,1,0,4,0,True,0,0,4,0
DAMIMAS_A21B_0017,train,17,4,0.35294117647058826,0,2,6,9,0,1,3,4,0,1,3,5,0,0,0,1,True,False,0,1,3,6,True,0,1,3,5,True,0,1,3,5,True,0,1,3,5,True,0,1,3,5,True,0,1,3,5
DAMIMAS_A21B_0018,train,11,4,0.6363636363636364,2,0,7,2,1,0,3,1,1,0,4,1,0,0,1,0,True,True,1,0,4,1,True,1,0,4,1,True,1,0,4,1,True,1,0,4,1,True,1,0,4,1,True,1,0,4,1
DAMIMAS_A21B_0019,train,25,4,0.6,4,0,15,6,2,0,8,3,2,0,8,3,0,0,0,0,True,True,2,0,8,4,True,2,0,8,3,True,2,0,8,3,True,2,0,8,3,True,2,0,8,3,True,2,0,9,4
DAMIMAS_A21B_0020,train,16,4,0.4375,2,2,7,5,1,1,4,3,1,1,4,3,0,0,0,0,True,True,1,1,4,3,True,1,1,4,3,True,1,1,4,3,True,1,1,4,3,True,1,1,4,3,True,1,1,4,3
DAMIMAS_A21B_0021,test,21,4,0.42857142857142855,6,0,9,6,3,0,5,4,3,0,5,4,0,0,0,0,True,True,3,0,5,4,True,3,0,5,3,True,3,0,5,3,True,3,0,5,3,True,3,0,5,3,True,3,0,5,4
DAMIMAS_A21B_0022,test,16,4,0.625,0,2,10,4,0,1,5,2,0,1,5,2,0,0,0,0,True,True,0,1,5,2,True,0,1,5,2,True,0,1,5,2,True,0,1,5,2,True,0,1,5,2,True,0,1,5,2
DAMIMAS_A21B_0023,train,16,4,0.5,2,6,8,0,1,3,5,0,1,3,4,0,0,0,-1,0,True,True,1,3,4,0,True,1,3,4,0,True,1,3,4,0,True,1,3,4,0,True,1,3,4,0,True,1,3,4,0
DAMIMAS_A21B_0024,train,20,4,0.55,3,0,11,6,1,0,6,3,2,0,6,3,1,0,0,0,True,True,2,0,6,4,True,2,0,6,3,True,2,0,6,3,True,2,0,6,3,True,2,0,6,3,True,2,0,6,4
DAMIMAS_A21B_0025,train,12,4,0.5833333333333334,3,2,7,0,1,1,5,0,1,1,4,0,0,0,-1,0,True,True,2,1,4,0,True,2,1,4,0,True,2,1,4,0,True,1,1,4,0,True,2,1,4,0,True,1,1,4,0
DAMIMAS_A21B_0026,val,13,4,0.6153846153846154,0,2,8,3,0,1,4,2,0,1,4,2,0,0,0,0,True,True,0,1,4,2,True,0,1,4,2,True,0,1,4,2,True,0,1,4,2,True,0,1,4,2,True,0,1,4,2
DAMIMAS_A21B_0027,train,21,4,0.5238095238095238,7,0,11,3,3,0,6,2,4,0,6,2,1,0,0,0,True,True,4,0,6,2,True,4,0,6,2,True,4,0,6,2,True,4,0,6,2,True,4,0,6,2,True,4,0,6,2
DAMIMAS_A21B_0028,val,21,4,0.5238095238095238,0,1,11,9,0,1,5,6,0,1,6,5,0,0,1,-1,True,True,0,1,6,6,True,0,1,6,5,True,0,1,6,5,True,0,1,6,5,True,0,1,6,5,True,0,1,6,6
DAMIMAS_A21B_0029,train,23,4,0.43478260869565216,2,6,10,5,1,2,5,2,1,3,5,3,0,1,0,1,True,True,1,3,5,3,True,1,3,5,3,True,1,3,5,3,True,1,3,5,3,True,1,3,5,3,True,1,3,6,3
DAMIMAS_A21B_0030,train,13,4,0.6923076923076923,0,0,9,4,0,0,5,3,0,0,5,2,0,0,0,-1,True,True,0,0,5,2,True,0,0,5,2,True,0,0,5,2,True,0,0,5,2,True,0,0,5,2,True,0,0,5,2
DAMIMAS_A21B_0031,train,13,4,0.6153846153846154,0,2,8,3,0,1,4,2,0,1,4,2,0,0,0,0,True,True,0,1,4,2,True,0,1,4,2,True,0,1,4,2,True,0,1,4,2,True,0,1,4,2,True,0,1,4,2
DAMIMAS_A21B_0032,train,22,4,0.45454545454545453,4,2,10,6,2,1,5,3,2,1,5,3,0,0,0,0,True,True,2,1,5,4,True,2,1,5,3,True,2,1,5,3,True,2,1,5,3,True,2,1,5,3,True,2,1,6,4
DAMIMAS_A21B_0033,train,18,4,0.8888888888888888,0,0,16,2,0,0,8,2,0,0,8,1,0,0,0,-1,True,True,0,0,9,1,True,0,0,8,1,True,0,0,8,1,True,0,0,8,1,True,0,0,8,1,True,0,0,9,1
DAMIMAS_A21B_0034,train,16,4,0.375,0,2,6,8,0,1,3,6,0,1,3,4,0,0,0,-2,False,True,0,1,3,5,False,0,1,3,4,False,0,1,3,4,False,0,1,3,4,False,0,1,3,4,True,0,1,3,5
DAMIMAS_A21B_0035,train,13,4,0.3076923076923077,0,9,4,0,0,7,2,0,0,5,2,0,0,-2,0,0,False,False,0,4,2,0,False,0,5,2,0,False,0,5,2,0,False,0,5,2,0,False,0,5,2,0,False,0,5,2,0
DAMIMAS_A21B_0036,train,15,4,0.8666666666666667,0,2,13,0,0,1,7,0,0,1,7,0,0,0,0,0,True,True,0,1,7,0,True,0,1,7,0,True,0,1,7,0,True,0,1,7,0,True,0,1,7,0,True,0,1,7,0
DAMIMAS_A21B_0037,val,21,4,0.5238095238095238,0,5,11,5,0,3,5,3,0,3,6,3,0,0,1,0,True,True,0,2,6,3,True,0,3,6,3,True,0,3,6,3,True,0,3,6,3,True,0,3,6,3,True,0,3,6,3
DAMIMAS_A21B_0038,val,21,4,0.42857142857142855,4,0,9,8,2,0,5,5,2,0,5,5,0,0,0,0,True,True,2,0,5,5,True,2,0,5,4,True,2,0,5,4,True,2,0,5,4,True,2,0,5,4,True,2,0,5,5
DAMIMAS_A21B_0039,test,15,4,0.2,3,9,3,0,2,5,2,0,1,5,2,0,-1,0,0,0,True,True,2,4,2,0,True,2,5,2,0,True,2,5,2,0,True,1,5,2,0,True,2,5,2,0,True,1,5,2,0
DAMIMAS_A21B_0040,train,21,4,0.38095238095238093,4,3,8,6,2,2,4,3,2,2,5,4,0,0,1,1,True,True,2,2,4,4,True,2,2,4,3,True,2,2,4,3,True,2,2,4,3,True,2,2,4,3,True,2,2,5,4
DAMIMAS_A21B_0041,test,23,4,0.43478260869565216,3,5,10,5,2,3,6,3,2,3,6,3,0,0,0,0,True,True,2,2,5,3,True,2,3,5,3,True,2,3,5,3,True,2,3,5,3,True,2,3,5,3,True,2,3,6,3
DAMIMAS_A21B_0042,train,15,4,0.4,5,2,6,2,2,1,4,1,2,1,3,1,0,0,-1,0,True,True,2,1,3,1,True,3,1,3,1,True,3,1,3,1,True,2,1,3,1,True,3,1,3,1,True,2,1,3,1
DAMIMAS_A21B_0043,train,23,4,0.6086956521739131,3,6,14,0,2,3,6,0,2,3,7,0,0,0,1,0,True,False,2,3,8,0,True,2,3,7,0,True,2,3,7,0,True,2,3,7,0,True,2,3,7,0,False,2,3,8,0
DAMIMAS_A21B_0044,test,16,4,0.5,4,2,8,2,2,1,4,1,2,1,4,1,0,0,0,0,True,True,2,1,4,1,True,2,1,4,1,True,2,1,4,1,True,2,1,4,1,True,2,1,4,1,True,2,1,4,1
DAMIMAS_A21B_0045,train,29,4,0.6896551724137931,2,0,20,7,1,0,10,4,1,0,11,4,0,0,1,0,True,True,1,0,11,4,True,1,0,11,4,True,1,0,11,4,True,1,0,11,4,True,1,0,11,4,False,1,0,12,5
DAMIMAS_A21B_0046,test,14,4,0.5,0,0,7,7,0,0,3,3,0,0,4,4,0,0,1,1,True,True,0,0,4,4,True,0,0,4,4,True,0,0,4,4,True,0,0,4,4,True,0,0,4,4,True,0,0,4,4
DAMIMAS_A21B_0047,val,13,4,0.6153846153846154,0,3,8,2,0,1,4,1,0,2,4,1,0,1,0,0,True,True,0,2,4,1,True,0,2,4,1,True,0,2,4,1,True,0,2,4,1,True,0,2,4,1,True,0,2,4,1
DAMIMAS_A21B_0048,val,18,4,0.6666666666666666,0,1,12,5,0,1,6,3,0,1,6,3,0,0,0,0,True,True,0,1,6,3,True,0,1,6,3,True,0,1,6,3,True,0,1,6,3,True,0,1,6,3,True,0,1,7,3
DAMIMAS_A21B_0049,train,13,4,0.6923076923076923,0,0,9,4,0,0,5,3,0,0,5,2,0,0,0,-1,True,True,0,0,5,2,True,0,0,5,2,True,0,0,5,2,True,0,0,5,2,True,0,0,5,2,True,0,0,5,2
DAMIMAS_A21B_0050,train,15,4,0.4666666666666667,4,0,7,4,2,0,3,2,2,0,4,2,0,0,1,0,True,True,2,0,4,2,True,2,0,4,2,True,2,0,4,2,True,2,0,4,2,True,2,0,4,2,True,2,0,4,2
DAMIMAS_A21B_0051,train,25,4,0.68,0,2,17,6,0,1,9,4,0,1,9,3,0,0,0,-1,True,True,0,1,9,4,True,0,1,9,3,True,0,1,9,3,True,0,1,9,3,True,0,1,9,3,True,0,1,10,4
DAMIMAS_A21B_0052,train,25,4,0.6,4,5,15,1,2,3,9,1,2,3,8,1,0,0,-1,0,True,True,2,2,8,1,True,2,3,8,1,True,2,3,8,1,True,2,3,8,1,True,2,3,8,1,True,2,3,9,1
DAMIMAS_A21B_0053,train,15,4,0.6,0,3,9,3,0,2,5,2,0,2,5,2,0,0,0,0,True,True,0,2,5,2,True,0,2,5,2,True,0,2,5,2,True,0,2,5,2,True,0,2,5,2,True,0,2,5,2
DAMIMAS_A21B_0054,test,20,4,0.45,0,5,9,6,0,2,5,4,0,3,5,3,0,1,0,-1,True,True,0,2,5,4,True,0,3,5,3,True,0,3,5,3,True,0,3,5,3,True,0,3,5,3,True,0,3,5,4
DAMIMAS_A21B_0055,train,22,4,0.5909090909090909,2,5,13,2,1,3,7,2,1,3,7,1,0,0,0,-1,True,True,1,2,7,1,True,1,3,7,1,True,1,3,7,1,True,1,3,7,1,True,1,3,7,1,True,1,3,7,1
DAMIMAS_A21B_0056,train,15,4,0.4666666666666667,2,2,7,4,1,1,4,2,1,1,4,2,0,0,0,0,True,True,1,1,4,2,True,1,1,4,2,True,1,1,4,2,True,1,1,4,2,True,1,1,4,2,True,1,1,4,2
DAMIMAS_A21B_0057,train,24,4,0.4583333333333333,4,2,11,7,2,1,6,4,2,1,6,4,0,0,0,0,True,True,2,1,6,4,True,2,1,6,4,True,2,1,6,4,True,2,1,6,4,True,2,1,6,4,True,2,1,6,4
DAMIMAS_A21B_0058,train,16,4,0.4375,3,2,7,4,1,1,3,2,1,1,4,2,0,0,1,0,True,True,2,1,4,2,True,2,1,4,2,True,2,1,4,2,True,1,1,4,2,True,2,1,4,2,True,1,1,4,2
DAMIMAS_A21B_0059,test,10,4,0.5,3,2,5,0,1,1,2,0,1,1,3,0,0,0,1,0,True,True,2,1,3,0,True,2,1,3,0,True,2,1,3,0,True,1,1,3,0,True,2,1,3,0,True,1,1,3,0
DAMIMAS_A21B_0060,val,16,4,0.75,0,2,12,2,0,1,5,1,0,1,6,1,0,0,1,0,True,True,0,1,6,1,True,0,1,6,1,True,0,1,6,1,True,0,1,6,1,True,0,1,6,1,False,0,1,7,1
DAMIMAS_A21B_0061,train,21,4,0.8095238095238095,2,0,17,2,1,0,8,1,1,0,9,1,0,0,1,0,True,True,1,0,9,1,True,1,0,9,1,True,1,0,9,1,True,1,0,9,1,True,1,0,9,1,False,1,0,10,1
DAMIMAS_A21B_0062,train,16,4,0.4375,0,6,7,3,0,2,3,2,0,3,4,2,0,1,1,0,True,True,0,3,4,2,True,0,3,4,2,True,0,3,4,2,True,0,3,4,2,True,0,3,4,2,True,0,3,4,2
DAMIMAS_A21B_0063,val,16,4,0.625,4,2,10,0,2,1,5,0,2,1,5,0,0,0,0,0,True,True,2,1,5,0,True,2,1,5,0,True,2,1,5,0,True,2,1,5,0,True,2,1,5,0,True,2,1,5,0
DAMIMAS_A21B_0064,train,13,4,0.7692307692307693,0,3,10,0,0,1,5,0,0,2,5,0,0,1,0,0,True,True,0,2,5,0,True,0,2,5,0,True,0,2,5,0,True,0,2,5,0,True,0,2,5,0,True,0,2,5,0
DAMIMAS_A21B_0065,train,25,4,0.48,5,2,12,6,2,1,6,3,3,1,6,3,1,0,0,0,True,True,2,1,6,4,True,3,1,6,3,True,3,1,6,3,True,3,1,6,3,True,3,1,6,3,True,3,1,7,4
DAMIMAS_A21B_0066,train,27,4,0.37037037037037035,4,4,10,9,2,2,5,5,2,2,6,6,0,0,1,1,True,True,2,2,5,6,True,2,2,5,5,True,2,2,5,5,True,2,2,5,5,True,2,2,5,5,True,2,2,6,6
DAMIMAS_A21B_0067,train,25,4,0.52,7,2,13,3,3,1,7,1,4,1,7,2,1,0,0,1,True,True,4,1,7,2,True,4,1,7,2,True,4,1,7,2,True,4,1,7,2,True,4,1,7,2,True,4,1,8,2
DAMIMAS_A21B_0068,train,18,4,0.3333333333333333,2,7,6,3,1,4,3,2,1,4,3,2,0,0,0,0,True,True,1,4,3,2,True,1,4,3,2,True,1,4,3,2,True,1,4,3,2,True,1,4,3,2,True,1,4,3,2
DAMIMAS_A21B_0069,train,19,4,0.631578947368421,3,2,12,2,1,1,7,1,2,1,6,1,1,0,-1,0,True,True,2,1,6,1,True,2,1,6,1,True,2,1,6,1,True,2,1,6,1,True,2,1,6,1,True,2,1,7,1
DAMIMAS_A21B_0070,train,17,4,0.6470588235294118,0,0,11,6,0,0,5,3,0,0,6,3,0,0,1,0,True,True,0,0,6,4,True,0,0,6,3,True,0,0,6,3,True,0,0,6,3,True,0,0,6,3,True,0,0,6,4
DAMIMAS_A21B_0071,train,18,4,0.7222222222222222,2,3,13,0,1,1,6,0,1,2,7,0,0,1,1,0,True,True,1,2,7,0,True,1,2,7,0,True,1,2,7,0,True,1,2,7,0,True,1,2,7,0,True,1,2,7,0
DAMIMAS_A21B_0072,train,22,4,0.5454545454545454,2,6,12,2,1,3,6,1,1,3,6,1,0,0,0,0,True,True,1,3,6,1,True,1,3,6,1,True,1,3,6,1,True,1,3,6,1,True,1,3,6,1,True,1,3,7,1
DAMIMAS_A21B_0073,test,17,4,0.0,0,2,0,15,0,1,0,10,0,1,0,8,0,0,0,-2,False,True,0,1,0,9,False,0,1,0,8,False,0,1,0,8,False,0,1,0,8,False,0,1,0,8,True,0,1,0,9
DAMIMAS_A21B_0074,train,4,2,0.5,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,0,True,True,0,0,2,2,True,0,0,1,1,True,0,0,2,2,True,0,0,2,2,True,0,0,2,2,True,0,0,1,1
DAMIMAS_A21B_0075,train,31,4,0.6451612903225806,3,4,20,4,1,2,11,3,2,2,10,2,1,0,-1,-1,True,True,2,2,11,2,True,2,2,10,2,True,2,2,10,2,True,2,2,11,2,True,2,2,10,2,True,2,2,12,3
DAMIMAS_A21B_0076,test,22,4,0.2727272727272727,5,3,6,8,2,2,3,4,3,2,3,5,1,0,0,1,True,True,2,2,3,5,True,3,2,3,4,True,3,2,3,4,True,3,2,3,4,True,3,2,3,4,True,3,2,3,5
DAMIMAS_A21B_0077,train,17,4,0.7058823529411765,5,0,12,0,2,0,7,0,2,0,6,0,0,0,-1,0,True,True,2,0,6,0,True,3,0,6,0,True,3,0,6,0,True,2,0,6,0,True,3,0,6,0,True,2,0,7,0
DAMIMAS_A21B_0078,train,21,4,0.5714285714285714,2,5,12,2,1,2,6,2,1,3,6,1,0,1,0,-1,True,True,1,2,6,1,True,1,3,6,1,True,1,3,6,1,True,1,3,6,1,True,1,3,6,1,True,1,3,7,1
DAMIMAS_A21B_0079,train,26,4,0.7307692307692307,0,7,19,0,0,4,9,0,0,4,10,0,0,0,1,0,True,True,0,4,10,0,True,0,4,10,0,True,0,4,10,0,True,0,4,10,0,True,0,4,10,0,False,0,4,11,0
DAMIMAS_A21B_0080,train,20,4,0.3,2,4,6,8,1,2,3,5,1,2,3,4,0,0,0,-1,True,True,1,2,3,5,True,1,2,3,4,True,1,2,3,4,True,1,2,3,4,True,1,2,3,4,True,1,2,3,5
DAMIMAS_A21B_0081,train,22,4,0.45454545454545453,2,5,10,5,2,2,5,4,1,3,5,3,-1,1,0,-1,True,True,1,2,5,3,True,1,3,5,3,True,1,3,5,3,True,1,3,5,3,True,1,3,5,3,True,1,3,6,3
DAMIMAS_A21B_0082,train,13,4,0.46153846153846156,0,6,6,1,0,3,3,1,0,3,3,1,0,0,0,0,True,True,0,3,3,1,True,0,3,3,1,True,0,3,3,1,True,0,3,3,1,True,0,3,3,1,True,0,3,3,1
DAMIMAS_A21B_0083,train,21,4,0.7619047619047619,0,5,16,0,0,3,8,0,0,3,8,0,0,0,0,0,True,True,0,3,9,0,True,0,3,8,0,True,0,3,8,0,True,0,3,8,0,True,0,3,8,0,True,0,3,9,0
DAMIMAS_A21B_0084,train,11,4,1.0,0,0,11,0,0,0,5,0,0,0,6,0,0,0,1,0,True,True,0,0,6,0,True,0,0,6,0,True,0,0,6,0,True,0,0,6,0,True,0,0,6,0,True,0,0,6,0
DAMIMAS_A21B_0085,train,28,4,0.6071428571428571,0,6,17,5,0,2,9,3,0,3,9,3,0,1,0,0,True,True,0,3,9,3,True,0,3,9,3,True,0,3,9,3,True,0,3,9,3,True,0,3,9,3,False,0,4,10,3
DAMIMAS_A21B_0086,train,19,4,0.6842105263157895,2,2,13,2,1,1,6,1,1,1,7,1,0,0,1,0,True,True,1,1,7,1,True,1,1,7,1,True,1,1,7,1,True,1,1,7,1,True,1,1,7,1,True,1,1,7,1
DAMIMAS_A21B_0087,train,25,4,0.64,2,5,16,2,1,3,8,1,1,3,8,1,0,0,0,0,True,True,1,2,9,1,True,1,3,8,1,True,1,3,8,1,True,1,3,8,1,True,1,3,8,1,True,1,3,9,1
DAMIMAS_A21B_0088,test,20,4,0.5,0,8,10,2,0,4,5,1,0,4,5,1,0,0,0,0,True,True,0,4,5,1,True,0,4,5,1,True,0,4,5,1,True,0,4,5,1,True,0,4,5,1,True,0,5,6,1
DAMIMAS_A21B_0089,test,23,4,0.6086956521739131,0,2,14,7,0,1,7,3,0,1,8,4,0,0,1,1,True,True,0,1,8,4,True,0,1,8,4,True,0,1,8,4,True,0,1,8,4,True,0,1,8,4,True,0,1,8,4
DAMIMAS_A21B_0090,train,10,4,0.5,0,3,5,2,0,1,2,1,0,2,3,1,0,1,1,0,True,True,0,2,3,1,True,0,2,3,1,True,0,2,3,1,True,0,2,3,1,True,0,2,3,1,True,0,2,3,1
DAMIMAS_A21B_0091,train,20,4,0.7,0,6,14,0,0,3,7,0,0,3,7,0,0,0,0,0,True,True,0,3,8,0,True,0,3,7,0,True,0,3,7,0,True,0,3,7,0,True,0,3,7,0,True,0,3,8,0
DAMIMAS_A21B_0092,test,22,4,0.36363636363636365,0,8,8,6,0,4,5,3,0,4,4,3,0,0,-1,0,True,True,0,4,4,4,True,0,4,4,3,True,0,4,4,3,True,0,4,4,3,True,0,4,4,3,True,0,5,5,4
DAMIMAS_A21B_0093,train,18,4,0.7777777777777778,0,0,14,4,0,0,7,2,0,0,7,2,0,0,0,0,True,True,0,0,8,2,True,0,0,7,2,True,0,0,7,2,True,0,0,7,2,True,0,0,7,2,True,0,0,8,2
DAMIMAS_A21B_0094,test,27,4,0.5185185185185185,2,0,14,11,1,0,7,7,1,0,7,6,0,0,0,-1,True,True,1,0,8,7,True,1,0,7,6,True,1,0,7,6,True,1,0,7,6,True,1,0,7,6,True,1,0,8,7
DAMIMAS_A21B_0095,train,15,4,0.3333333333333333,2,8,5,0,1,4,3,0,1,4,3,0,0,0,0,0,True,True,1,4,3,0,True,1,4,3,0,True,1,4,3,0,True,1,4,3,0,True,1,4,3,0,True,1,4,3,0
DAMIMAS_A21B_0096,test,18,4,0.2222222222222222,4,0,4,10,2,0,2,6,2,0,2,5,0,0,0,-1,True,True,2,0,2,6,True,2,0,2,5,True,2,0,2,5,True,2,0,2,5,True,2,0,2,5,True,2,0,2,6
DAMIMAS_A21B_0097,train,22,4,0.5454545454545454,1,4,12,5,1,2,6,3,1,2,6,3,0,0,0,0,True,True,1,2,6,3,True,1,2,6,3,True,1,2,6,3,True,1,2,6,3,True,1,2,6,3,True,1,2,7,3
DAMIMAS_A21B_0098,train,19,4,0.42105263157894735,0,2,8,9,0,1,4,5,0,1,4,5,0,0,0,0,True,True,0,1,4,6,True,0,1,4,5,True,0,1,4,5,True,0,1,4,5,True,0,1,4,5,True,0,1,4,5
DAMIMAS_A21B_0099,train,24,4,0.375,5,8,9,2,2,4,5,1,3,5,5,1,1,1,0,0,True,True,2,4,5,1,True,3,4,5,1,True,3,4,5,1,True,3,4,5,1,True,3,4,5,1,True,3,5,5,1
DAMIMAS_A21B_0100,val,27,4,0.2962962962962963,2,4,8,13,1,2,5,7,1,2,4,7,0,0,-1,0,True,True,1,2,4,8,True,1,2,4,7,True,1,2,4,7,True,1,2,4,7,True,1,2,4,7,True,1,2,5,8
DAMIMAS_A21B_0101,train,15,4,0.4,2,7,6,0,1,3,3,0,1,4,3,0,0,1,0,0,True,True,1,4,3,0,True,1,4,3,0,True,1,4,3,0,True,1,4,3,0,True,1,4,3,0,True,1,4,3,0
DAMIMAS_A21B_0102,train,18,4,0.8888888888888888,0,0,16,2,0,0,7,1,0,0,8,1,0,0,1,0,True,False,0,0,9,1,True,0,0,8,1,True,0,0,8,1,True,0,0,8,1,True,0,0,8,1,False,0,0,9,1
DAMIMAS_A21B_0103,val,29,4,0.6896551724137931,1,8,20,0,1,5,11,0,1,4,11,0,0,-1,0,0,True,True,1,4,11,0,True,1,4,11,0,True,1,4,11,0,True,1,4,11,0,True,1,4,11,0,True,1,5,12,0
DAMIMAS_A21B_0104,train,27,4,0.3333333333333333,4,6,9,8,2,3,5,5,2,4,5,5,0,1,0,0,True,True,2,3,5,5,True,2,3,5,4,True,2,3,5,4,True,2,3,5,4,True,2,3,5,4,True,2,4,5,5
DAMIMAS_A21B_0105,train,21,4,0.6190476190476191,4,3,13,1,2,2,8,1,2,2,7,1,0,0,-1,0,True,True,2,2,7,1,True,2,2,7,1,True,2,2,7,1,True,2,2,7,1,True,2,2,7,1,True,2,2,7,1
DAMIMAS_A21B_0106,test,21,4,0.47619047619047616,4,0,10,7,2,0,5,4,2,0,5,4,0,0,0,0,True,True,2,0,5,4,True,2,0,5,4,True,2,0,5,4,True,2,0,5,4,True,2,0,5,4,True,2,0,6,4
DAMIMAS_A21B_0107,val,31,4,0.5483870967741935,6,6,17,2,3,4,10,2,3,3,9,1,0,-1,-1,-1,True,True,3,3,9,1,True,3,3,9,1,True,3,3,9,1,True,3,3,9,1,True,3,3,9,1,True,3,4,10,1
DAMIMAS_A21B_0108,train,17,4,0.4117647058823529,3,5,7,2,1,3,4,1,1,3,4,1,0,0,0,0,True,True,2,2,4,1,True,2,3,4,1,True,2,3,4,1,True,1,3,4,1,True,2,3,4,1,True,1,3,4,1
