tree_id,split,varietas,num_sides,total_unique_bunches,B1,B2,B3,B4,total_detections,duplicates_linked
DAMIMAS_A21B_0036,train,DAMIMAS,4,8,0,1,7,0,15,7
DAMIMAS_A21B_0037,val,DAMIMAS,4,11,0,3,5,3,21,10
DAMIMAS_A21B_0038,val,DAMIMAS,4,12,2,0,5,5,21,9
DAMIMAS_A21B_0039,test,DAMIMAS,4,9,2,5,2,0,15,6
DAMIMAS_A21B_0040,train,DAMIMAS,4,11,2,2,4,3,21,10
DAMIMAS_A21B_0041,test,DAMIMAS,4,14,2,3,6,3,23,9
DAMIMAS_A21B_0042,train,DAMIMAS,4,8,2,1,4,1,15,7
DAMIMAS_A21B_0043,train,DAMIMAS,4,11,2,3,6,0,23,12
DAMIMAS_A21B_0044,test,DAMIMAS,4,8,2,1,4,1,16,8
DAMIMAS_A21B_0045,train,DAMIMAS,4,15,1,0,10,4,29,14
DAMIMAS_A21B_0046,test,DAMIMAS,4,6,0,0,3,3,14,8
DAMIMAS_A21B_0047,val,DAMIMAS,4,6,0,1,4,1,13,7
DAMIMAS_A21B_0048,val,DAMIMAS,4,10,0,1,6,3,18,8
DAMIMAS_A21B_0049,train,DAMIMAS,4,8,0,0,5,3,13,5
DAMIMAS_A21B_0050,train,DAMIMAS,4,7,2,0,3,2,15,8
DAMIMAS_A21B_0051,train,DAMIMAS,4,14,0,1,9,4,25,11
DAMIMAS_A21B_0052,train,DAMIMAS,4,15,2,3,9,1,25,10
DAMIMAS_A21B_0053,train,DAMIMAS,4,9,0,2,5,2,15,6
DAMIMAS_A21B_0054,test,DAMIMAS,4,11,0,2,5,4,20,9
DAMIMAS_A21B_0055,train,DAMIMAS,4,13,1,3,7,2,22,9
DAMIMAS_A21B_0056,train,DAMIMAS,4,8,1,1,4,2,15,7
DAMIMAS_A21B_0057,train,DAMIMAS,4,13,2,1,6,4,24,11
DAMIMAS_A21B_0058,train,DAMIMAS,4,7,1,1,3,2,16,9
DAMIMAS_A21B_0059,test,DAMIMAS,4,4,1,1,2,0,10,6
DAMIMAS_A21B_0060,val,DAMIMAS,4,7,0,1,5,1,16,9
DAMIMAS_A21B_0061,train,DAMIMAS,4,10,1,0,8,1,21,11
DAMIMAS_A21B_0062,train,DAMIMAS,4,7,0,2,3,2,16,9
DAMIMAS_A21B_0063,val,DAMIMAS,4,8,2,1,5,0,16,8
DAMIMAS_A21B_0064,train,DAMIMAS,4,6,0,1,5,0,13,7
DAMIMAS_A21B_0065,train,DAMIMAS,4,12,2,1,6,3,25,13
DAMIMAS_A21B_0066,train,DAMIMAS,4,14,2,2,5,5,27,13
DAMIMAS_A21B_0067,train,DAMIMAS,4,12,3,1,7,1,25,13
DAMIMAS_A21B_0068,train,DAMIMAS,4,10,1,4,3,2,18,8
DAMIMAS_A21B_0069,train,DAMIMAS,4,10,1,1,7,1,19,9
DAMIMAS_A21B_0070,train,DAMIMAS,4,8,0,0,5,3,17,9
DAMIMAS_A21B_0071,train,DAMIMAS,4,8,1,1,6,0,18,10
DAMIMAS_A21B_0072,train,DAMIMAS,4,11,1,3,6,1,22,11
DAMIMAS_A21B_0073,test,DAMIMAS,4,11,0,1,0,10,17,6
DAMIMAS_A21B_0074,train,DAMIMAS,4,4,0,0,2,2,4,0
DAMIMAS_A21B_0075,train,DAMIMAS,4,17,1,2,11,3,31,14
DAMIMAS_A21B_0076,test,DAMIMAS,4,11,2,2,3,4,22,11
DAMIMAS_A21B_0077,train,DAMIMAS,4,9,2,0,7,0,17,8
DAMIMAS_A21B_0078,train,DAMIMAS,4,11,1,2,6,2,21,10
DAMIMAS_A21B_0079,train,DAMIMAS,4,13,0,4,9,0,26,13
DAMIMAS_A21B_0080,train,DAMIMAS,4,11,1,2,3,5,20,9
DAMIMAS_A21B_0081,train,DAMIMAS,4,13,2,2,5,4,22,9
DAMIMAS_A21B_0082,train,DAMIMAS,4,7,0,3,3,1,13,6
DAMIMAS_A21B_0083,train,DAMIMAS,4,11,0,3,8,0,21,10
DAMIMAS_A21B_0084,train,DAMIMAS,4,5,0,0,5,0,11,6
DAMIMAS_A21B_0085,train,DAMIMAS,4,14,0,2,9,3,28,14
DAMIMAS_A21B_0086,train,DAMIMAS,4,9,1,1,6,1,19,10
DAMIMAS_A21B_0087,train,DAMIMAS,4,12,1,2,8,1,24,12
DAMIMAS_A21B_0088,test,DAMIMAS,4,10,0,4,5,1,20,10
DAMIMAS_A21B_0089,test,DAMIMAS,4,11,0,1,7,3,23,12
DAMIMAS_A21B_0090,train,DAMIMAS,4,4,0,1,2,1,10,6
DAMIMAS_A21B_0091,train,DAMIMAS,4,10,0,3,7,0,20,10
DAMIMAS_A21B_0092,test,DAMIMAS,4,12,0,4,5,3,22,10
DAMIMAS_A21B_0093,train,DAMIMAS,4,9,0,0,7,2,18,9
DAMIMAS_A21B_0094,test,DAMIMAS,4,15,1,0,7,7,27,12
DAMIMAS_A21B_0095,train,DAMIMAS,4,8,1,4,3,0,15,7
DAMIMAS_A21B_0096,test,DAMIMAS,4,10,2,0,2,6,18,8
DAMIMAS_A21B_0097,train,DAMIMAS,4,12,1,2,6,3,22,10
DAMIMAS_A21B_0098,train,DAMIMAS,4,10,0,1,4,5,19,9
DAMIMAS_A21B_0099,train,DAMIMAS,4,12,2,4,5,1,24,12
DAMIMAS_A21B_0100,val,DAMIMAS,4,15,1,2,5,7,27,12
DAMIMAS_A21B_0101,train,DAMIMAS,4,7,1,3,3,0,15,8
DAMIMAS_A21B_0102,train,DAMIMAS,4,8,0,0,7,1,18,10
DAMIMAS_A21B_0103,val,DAMIMAS,4,17,1,5,11,0,29,12
DAMIMAS_A21B_0104,train,DAMIMAS,4,15,2,3,5,5,27,12
DAMIMAS_A21B_0105,train,DAMIMAS,4,13,2,2,8,1,21,8
DAMIMAS_A21B_0106,test,DAMIMAS,4,11,2,0,5,4,21,10
DAMIMAS_A21B_0107,val,DAMIMAS,4,19,3,4,10,2,31,12
DAMIMAS_A21B_0108,train,DAMIMAS,4,9,1,3,4,1,17,8
DAMIMAS_A21B_0109,train,DAMIMAS,4,11,1,2,5,3,20,9
DAMIMAS_A21B_0110,train,DAMIMAS,4,4,0,0,2,2,8,4
DAMIMAS_A21B_0111,train,DAMIMAS,4,12,0,1,8,3,24,12
DAMIMAS_A21B_0112,train,DAMIMAS,4,6,0,2,4,0,12,6
DAMIMAS_A21B_0113,train,DAMIMAS,4,8,0,1,6,1,15,7
DAMIMAS_A21B_0114,train,DAMIMAS,4,4,0,1,3,0,9,5
DAMIMAS_A21B_0115,train,DAMIMAS,4,3,0,1,2,0,5,2
DAMIMAS_A21B_0116,val,DAMIMAS,4,12,0,2,5,5,25,13
DAMIMAS_A21B_0117,val,DAMIMAS,4,4,0,0,3,1,8,4
DAMIMAS_A21B_0118,train,DAMIMAS,4,11,1,1,2,7,20,9
DAMIMAS_A21B_0119,train,DAMIMAS,4,8,2,4,2,0,19,11
DAMIMAS_A21B_0120,train,DAMIMAS,4,5,1,0,1,3,9,4
DAMIMAS_A21B_0121,train,DAMIMAS,4,10,0,3,5,2,21,11
DAMIMAS_A21B_0122,train,DAMIMAS,4,8,1,1,1,5,13,5
DAMIMAS_A21B_0123,train,DAMIMAS,4,9,0,6,3,0,17,8
DAMIMAS_A21B_0124,train,DAMIMAS,4,9,0,1,6,2,20,11
DAMIMAS_A21B_0125,train,DAMIMAS,4,9,1,2,5,1,20,11
DAMIMAS_A21B_0126,train,DAMIMAS,4,10,2,0,4,4,22,12
DAMIMAS_A21B_0127,train,DAMIMAS,4,12,0,2,5,5,23,11
DAMIMAS_A21B_0128,train,DAMIMAS,4,8,0,1,4,3,17,9
DAMIMAS_A21B_0129,train,DAMIMAS,4,5,0,0,4,1,10,5
DAMIMAS_A21B_0130,train,DAMIMAS,4,9,1,1,2,5,16,7
DAMIMAS_A21B_0131,train,DAMIMAS,4,9,0,1,6,2,18,9
DAMIMAS_A21B_0132,train,DAMIMAS,4,9,1,1,1,6,17,8
DAMIMAS_A21B_0133,train,DAMIMAS,4,9,0,0,7,2,21,12
DAMIMAS_A21B_0134,train,DAMIMAS,4,6,0,2,4,0,15,9
DAMIMAS_A21B_0135,train,DAMIMAS,4,10,0,5,3,2,22,12
DAMIMAS_A21B_0136,train,DAMIMAS,4,10,0,0,7,3,22,12
DAMIMAS_A21B_0137,train,DAMIMAS,4,10,0,2,8,0,20,10
DAMIMAS_A21B_0138,train,DAMIMAS,4,6,0,1,3,2,15,9
DAMIMAS_A21B_0139,train,DAMIMAS,4,8,0,2,5,1,20,12
DAMIMAS_A21B_0140,train,DAMIMAS,4,13,1,3,4,5,27,14
DAMIMAS_A21B_0141,train,DAMIMAS,4,9,0,0,7,2,22,13
DAMIMAS_A21B_0142,train,DAMIMAS,4,5,0,1,3,1,9,4
DAMIMAS_A21B_0143,train,DAMIMAS,4,8,0,0,7,1,19,11
DAMIMAS_A21B_0144,val,DAMIMAS,4,9,0,1,6,2,19,10
DAMIMAS_A21B_0145,val,DAMIMAS,4,10,1,0,5,4,20,10
DAMIMAS_A21B_0146,val,DAMIMAS,4,11,0,3,6,2,23,12
DAMIMAS_A21B_0147,val,DAMIMAS,4,12,0,2,8,2,26,14
DAMIMAS_A21B_0148,val,DAMIMAS,4,9,0,3,3,3,18,9
DAMIMAS_A21B_0149,val,DAMIMAS,4,11,0,1,9,1,23,12
DAMIMAS_A21B_0150,val,DAMIMAS,4,14,0,2,8,4,27,13
DAMIMAS_A21B_0151,val,DAMIMAS,4,10,0,1,5,4,23,13
DAMIMAS_A21B_0152,val,DAMIMAS,4,10,0,2,5,3,24,14
DAMIMAS_A21B_0153,val,DAMIMAS,4,8,0,0,7,1,17,9
DAMIMAS_A21B_0154,val,DAMIMAS,4,13,0,2,4,7,26,13
DAMIMAS_A21B_0155,val,DAMIMAS,4,12,1,3,5,3,23,11
DAMIMAS_A21B_0156,val,DAMIMAS,4,9,1,1,4,3,19,10
DAMIMAS_A21B_0157,val,DAMIMAS,4,14,0,3,7,4,26,12
DAMIMAS_A21B_0158,val,DAMIMAS,4,10,0,2,5,3,19,9
DAMIMAS_A21B_0159,val,DAMIMAS,4,5,1,0,1,3,9,4
DAMIMAS_A21B_0160,val,DAMIMAS,4,6,0,3,3,0,14,8
DAMIMAS_A21B_0161,val,DAMIMAS,4,14,0,0,10,4,24,10
DAMIMAS_A21B_0162,val,DAMIMAS,4,8,0,0,4,4,18,10
DAMIMAS_A21B_0163,val,DAMIMAS,4,15,1,1,8,5,32,17
DAMIMAS_A21B_0164,val,DAMIMAS,4,12,0,1,6,5,24,12
DAMIMAS_A21B_0165,val,DAMIMAS,4,11,0,3,5,3,24,13
DAMIMAS_A21B_0166,val,DAMIMAS,4,10,1,1,6,2,18,8
DAMIMAS_A21B_0167,val,DAMIMAS,4,11,2,2,4,3,22,11
DAMIMAS_A21B_0168,val,DAMIMAS,4,12,1,1,4,6,24,12
DAMIMAS_A21B_0169,val,DAMIMAS,4,16,0,1,12,3,29,13
DAMIMAS_A21B_0170,val,DAMIMAS,4,13,1,1,6,5,26,13
DAMIMAS_A21B_0171,val,DAMIMAS,4,8,0,0,7,1,14,6
DAMIMAS_A21B_0172,val,DAMIMAS,4,11,1,0,6,4,22,11
DAMIMAS_A21B_0173,val,DAMIMAS,4,12,1,1,9,1,24,12
DAMIMAS_A21B_0174,val,DAMIMAS,4,15,0,2,9,4,28,13
DAMIMAS_A21B_0175,val,DAMIMAS,4,10,1,3,6,0,23,13
DAMIMAS_A21B_0176,val,DAMIMAS,4,11,2,1,4,4,19,8
DAMIMAS_A21B_0177,val,DAMIMAS,4,17,0,4,10,3,24,7
DAMIMAS_A21B_0178,val,DAMIMAS,4,10,1,2,4,3,20,10
DAMIMAS_A21B_0179,val,DAMIMAS,4,11,0,1,7,3,22,11
DAMIMAS_A21B_0180,val,DAMIMAS,4,12,0,1,7,4,24,12
DAMIMAS_A21B_0181,val,DAMIMAS,4,11,0,0,8,3,21,10
DAMIMAS_A21B_0182,val,DAMIMAS,4,10,0,3,5,2,20,10
DAMIMAS_A21B_0183,val,DAMIMAS,4,14,0,3,10,1,27,13
DAMIMAS_A21B_0184,val,DAMIMAS,4,5,0,0,5,0,11,6
DAMIMAS_A21B_0185,val,DAMIMAS,4,11,0,2,6,3,22,11
DAMIMAS_A21B_0186,val,DAMIMAS,4,7,0,1,6,0,15,8
DAMIMAS_A21B_0187,val,DAMIMAS,4,4,0,1,3,0,6,2
DAMIMAS_A21B_0188,val,DAMIMAS,4,6,0,2,3,1,12,6
DAMIMAS_A21B_0189,val,DAMIMAS,4,5,0,4,1,0,11,6
DAMIMAS_A21B_0190,val,DAMIMAS,4,9,0,4,4,1,18,9
DAMIMAS_A21B_0191,val,DAMIMAS,4,8,0,5,3,0,13,5
DAMIMAS_A21B_0192,val,DAMIMAS,4,6,0,0,6,0,12,6
DAMIMAS_A21B_0193,val,DAMIMAS,4,14,0,0,8,6,27,13
DAMIMAS_A21B_0194,test,DAMIMAS,4,7,0,0,6,1,13,6
DAMIMAS_A21B_0195,test,DAMIMAS,4,8,1,2,5,0,19,11
DAMIMAS_A21B_0196,test,DAMIMAS,4,7,0,1,2,4,14,7
DAMIMAS_A21B_0197,test,DAMIMAS,4,9,0,0,7,2,18,9
DAMIMAS_A21B_0198,test,DAMIMAS,4,10,1,0,7,2,19,9
DAMIMAS_A21B_0199,test,DAMIMAS,4,10,1,2,7,0,21,11
DAMIMAS_A21B_0200,test,DAMIMAS,4,6,0,1,4,1,12,6
DAMIMAS_A21B_0201,test,DAMIMAS,4,9,1,0,7,1,21,12
DAMIMAS_A21B_0202,test,DAMIMAS,4,6,1,1,3,1,9,3
DAMIMAS_A21B_0203,test,DAMIMAS,4,6,0,1,5,0,13,7
DAMIMAS_A21B_0204,test,DAMIMAS,4,9,1,1,6,1,19,10
DAMIMAS_A21B_0205,test,DAMIMAS,4,7,0,0,7,0,15,8
DAMIMAS_A21B_0206,test,DAMIMAS,4,10,0,2,7,1,21,11
DAMIMAS_A21B_0207,test,DAMIMAS,4,10,3,1,6,0,20,10
DAMIMAS_A21B_0208,test,DAMIMAS,4,10,0,3,6,1,22,12
DAMIMAS_A21B_0209,test,DAMIMAS,4,8,0,1,6,1,17,9
DAMIMAS_A21B_0210,test,DAMIMAS,4,10,1,1,7,1,20,10
DAMIMAS_A21B_0211,test,DAMIMAS,4,13,0,5,7,1,25,12
DAMIMAS_A21B_0212,test,DAMIMAS,4,9,1,0,5,3,17,8
DAMIMAS_A21B_0213,test,DAMIMAS,4,12,0,2,7,3,21,9
DAMIMAS_A21B_0214,test,DAMIMAS,4,13,1,1,5,6,20,7
DAMIMAS_A21B_0215,test,DAMIMAS,4,10,3,2,4,1,20,10
DAMIMAS_A21B_0216,test,DAMIMAS,4,11,2,0,7,2,21,10
DAMIMAS_A21B_0217,test,DAMIMAS,4,11,1,2,7,1,21,10
DAMIMAS_A21B_0218,test,DAMIMAS,4,11,0,2,2,7,19,8
DAMIMAS_A21B_0219,test,DAMIMAS,4,12,2,2,6,2,22,10
DAMIMAS_A21B_0220,test,DAMIMAS,4,5,0,2,3,0,9,4
DAMIMAS_A21B_0221,test,DAMIMAS,4,17,2,4,7,4,25,8
DAMIMAS_A21B_0222,test,DAMIMAS,4,12,1,1,5,5,21,9
DAMIMAS_A21B_0223,test,DAMIMAS,4,11,1,3,7,0,16,5
DAMIMAS_A21B_0224,test,DAMIMAS,4,10,1,2,5,2,21,11
DAMIMAS_A21B_0225,test,DAMIMAS,4,6,1,1,4,0,12,6
DAMIMAS_A21B_0226,test,DAMIMAS,4,9,0,0,6,3,16,7
DAMIMAS_A21B_0227,test,DAMIMAS,4,7,1,0,1,5,10,3
DAMIMAS_A21B_0228,test,DAMIMAS,4,11,2,2,3,4,17,6
DAMIMAS_A21B_0229,test,DAMIMAS,4,11,2,0,7,2,22,11
DAMIMAS_A21B_0230,train,DAMIMAS,4,0,0,0,0,0,0,0
DAMIMAS_A21B_0231,train,DAMIMAS,4,8,0,0,5,3,16,8
DAMIMAS_A21B_0232,test,DAMIMAS,4,6,0,0,2,4,9,3
DAMIMAS_A21B_0233,test,DAMIMAS,4,13,0,0,9,4,23,10
DAMIMAS_A21B_0234,test,DAMIMAS,4,11,0,0,6,5,15,4
DAMIMAS_A21B_0235,test,DAMIMAS,4,12,0,3,8,1,23,11
DAMIMAS_A21B_0236,test,DAMIMAS,4,14,0,3,8,3,26,12
DAMIMAS_A21B_0237,test,DAMIMAS,4,7,1,2,3,1,20,13
DAMIMAS_A21B_0238,test,DAMIMAS,4,12,2,1,6,3,22,10
DAMIMAS_A21B_0239,test,DAMIMAS,4,8,0,4,4,0,16,8
DAMIMAS_A21B_0240,train,DAMIMAS,4,8,0,5,2,1,14,6
DAMIMAS_A21B_0241,val,DAMIMAS,4,8,1,2,5,0,16,8
DAMIMAS_A21B_0242,train,DAMIMAS,4,8,0,2,5,1,15,7
DAMIMAS_A21B_0243,val,DAMIMAS,4,9,1,4,3,1,22,13
DAMIMAS_A21B_0244,train,DAMIMAS,4,7,0,0,0,7,15,8
DAMIMAS_A21B_0245,train,DAMIMAS,4,5,0,0,3,2,10,5
DAMIMAS_A21B_0246,test,DAMIMAS,4,16,0,6,6,4,22,6
DAMIMAS_A21B_0247,test,DAMIMAS,4,10,2,3,5,0,20,10
DAMIMAS_A21B_0248,train,DAMIMAS,4,11,0,2,5,4,18,7
DAMIMAS_A21B_0249,train,DAMIMAS,4,10,0,1,9,0,18,8
DAMIMAS_A21B_0250,test,DAMIMAS,4,19,2,1,8,8,30,11
DAMIMAS_A21B_0251,train,DAMIMAS,4,13,1,4,6,2,22,9
DAMIMAS_A21B_0252,train,DAMIMAS,4,10,0,2,6,2,15,5
DAMIMAS_A21B_0253,train,DAMIMAS,4,6,0,2,4,0,11,5
DAMIMAS_A21B_0254,test,DAMIMAS,4,11,0,2,6,3,20,9
DAMIMAS_A21B_0255,train,DAMIMAS,4,10,1,2,6,1,17,7
DAMIMAS_A21B_0256,train,DAMIMAS,4,2,0,0,2,0,3,1
DAMIMAS_A21B_0257,train,DAMIMAS,4,13,1,4,7,1,18,5
DAMIMAS_A21B_0258,train,DAMIMAS,4,11,0,2,7,2,17,6
DAMIMAS_A21B_0259,train,DAMIMAS,4,12,1,8,3,0,18,6
DAMIMAS_A21B_0260,train,DAMIMAS,4,11,1,5,3,2,20,9
DAMIMAS_A21B_0261,train,DAMIMAS,4,16,3,5,5,3,27,11
DAMIMAS_A21B_0262,train,DAMIMAS,4,13,2,2,7,2,24,11
DAMIMAS_A21B_0263,val,DAMIMAS,4,11,0,7,3,1,21,10
DAMIMAS_A21B_0264,train,DAMIMAS,4,12,3,2,7,0,22,10
DAMIMAS_A21B_0265,train,DAMIMAS,4,12,1,2,8,1,22,10
DAMIMAS_A21B_0266,train,DAMIMAS,4,12,2,1,9,0,21,9
DAMIMAS_A21B_0267,train,DAMIMAS,4,12,1,5,4,2,21,9
DAMIMAS_A21B_0268,train,DAMIMAS,4,19,2,6,5,6,28,9
DAMIMAS_A21B_0269,train,DAMIMAS,4,5,0,0,5,0,11,6
DAMIMAS_A21B_0270,test,DAMIMAS,4,10,1,2,7,0,16,6
DAMIMAS_A21B_0271,test,DAMIMAS,4,15,0,6,6,3,22,7
DAMIMAS_A21B_0272,val,DAMIMAS,4,9,1,1,5,2,17,8
DAMIMAS_A21B_0273,train,DAMIMAS,4,7,0,1,6,0,16,9
DAMIMAS_A21B_0274,train,DAMIMAS,4,12,0,1,8,3,20,8
DAMIMAS_A21B_0275,test,DAMIMAS,4,17,3,4,8,2,26,9
DAMIMAS_A21B_0276,train,DAMIMAS,4,5,1,1,3,0,10,5
DAMIMAS_A21B_0277,val,DAMIMAS,4,9,1,3,5,0,17,8
DAMIMAS_A21B_0278,val,DAMIMAS,4,12,2,4,6,0,20,8
DAMIMAS_A21B_0279,test,DAMIMAS,4,15,0,5,9,1,25,10
DAMIMAS_A21B_0280,test,DAMIMAS,4,13,2,3,4,4,20,7
DAMIMAS_A21B_0281,train,DAMIMAS,4,15,0,0,10,5,23,8
DAMIMAS_A21B_0282,train,DAMIMAS,4,10,4,0,6,0,18,8
DAMIMAS_A21B_0283,val,DAMIMAS,4,11,2,1,7,1,20,9
DAMIMAS_A21B_0284,test,DAMIMAS,4,7,1,2,3,1,16,9
DAMIMAS_A21B_0285,train,DAMIMAS,4,18,4,2,7,5,32,14
DAMIMAS_A21B_0286,train,DAMIMAS,4,10,1,3,5,1,19,9
DAMIMAS_A21B_0287,train,DAMIMAS,4,5,2,3,0,0,14,9
DAMIMAS_A21B_0288,test,DAMIMAS,4,13,1,2,6,4,21,8
DAMIMAS_A21B_0289,val,DAMIMAS,4,10,1,2,7,0,14,4
DAMIMAS_A21B_0290,train,DAMIMAS,4,8,0,1,7,0,15,7
DAMIMAS_A21B_0291,train,DAMIMAS,4,16,3,5,5,3,23,7
DAMIMAS_A21B_0292,train,DAMIMAS,4,14,0,3,7,4,24,10
DAMIMAS_A21B_0293,train,DAMIMAS,4,13,0,2,7,4,18,5
DAMIMAS_A21B_0294,test,DAMIMAS,4,15,0,2,10,3,24,9
DAMIMAS_A21B_0295,train,DAMIMAS,4,12,0,3,7,2,17,5
DAMIMAS_A21B_0296,test,DAMIMAS,4,5,1,3,1,0,11,6
DAMIMAS_A21B_0297,train,DAMIMAS,4,9,0,0,7,2,17,8
DAMIMAS_A21B_0298,train,DAMIMAS,4,10,1,0,6,3,22,12
DAMIMAS_A21B_0299,train,DAMIMAS,4,9,1,2,6,0,18,9
DAMIMAS_A21B_0300,train,DAMIMAS,4,8,1,0,5,2,13,5
DAMIMAS_A21B_0301,train,DAMIMAS,4,13,1,1,9,2,20,7
DAMIMAS_A21B_0302,test,DAMIMAS,4,9,1,1,7,0,15,6
DAMIMAS_A21B_0303,train,DAMIMAS,4,10,0,0,10,0,21,11
DAMIMAS_A21B_0304,test,DAMIMAS,4,9,0,1,4,4,18,9
DAMIMAS_A21B_0305,train,DAMIMAS,4,14,2,4,6,2,25,11
DAMIMAS_A21B_0306,train,DAMIMAS,4,5,1,0,4,0,9,4
DAMIMAS_A21B_0307,train,DAMIMAS,4,7,1,1,5,0,14,7
DAMIMAS_A21B_0308,val,DAMIMAS,4,8,1,1,3,3,15,7
DAMIMAS_A21B_0309,train,DAMIMAS,4,9,1,2,4,2,18,9
DAMIMAS_A21B_0310,train,DAMIMAS,4,10,1,0,9,0,20,10
DAMIMAS_A21B_0311,val,DAMIMAS,4,3,0,1,2,0,9,6
DAMIMAS_A21B_0312,train,DAMIMAS,4,9,0,1,6,2,18,9
DAMIMAS_A21B_0313,train,DAMIMAS,4,12,2,1,7,2,23,11
DAMIMAS_A21B_0314,train,DAMIMAS,4,11,0,1,8,2,22,11
DAMIMAS_A21B_0315,train,DAMIMAS,4,16,1,8,7,0,25,9
DAMIMAS_A21B_0316,train,DAMIMAS,4,13,1,2,6,4,24,11
DAMIMAS_A21B_0317,train,DAMIMAS,4,7,0,1,6,0,14,7
DAMIMAS_A21B_0318,train,DAMIMAS,4,12,0,0,8,4,19,7
DAMIMAS_A21B_0319,train,DAMIMAS,4,6,0,2,4,0,15,9
DAMIMAS_A21B_0320,train,DAMIMAS,4,16,3,3,6,4,24,8
DAMIMAS_A21B_0321,test,DAMIMAS,4,13,2,4,6,1,21,8
DAMIMAS_A21B_0322,train,DAMIMAS,4,0,0,0,0,0,0,0
DAMIMAS_A21B_0323,test,DAMIMAS,4,3,0,0,3,0,13,10
DAMIMAS_A21B_0324,train,DAMIMAS,4,6,0,0,6,0,14,8
DAMIMAS_A21B_0325,test,DAMIMAS,4,7,0,2,4,1,17,10
DAMIMAS_A21B_0326,train,DAMIMAS,4,7,0,0,5,2,10,3
DAMIMAS_A21B_0327,train,DAMIMAS,4,7,1,1,5,0,12,5
DAMIMAS_A21B_0328,train,DAMIMAS,4,7,0,1,4,2,15,8
DAMIMAS_A21B_0329,train,DAMIMAS,4,3,1,0,2,0,8,5
DAMIMAS_A21B_0330,val,DAMIMAS,4,11,2,1,8,0,22,11
DAMIMAS_A21B_0331,test,DAMIMAS,4,7,0,1,6,0,15,8
DAMIMAS_A21B_0332,train,DAMIMAS,4,6,0,0,4,2,11,5
DAMIMAS_A21B_0333,train,DAMIMAS,4,4,1,1,2,0,8,4
DAMIMAS_A21B_0334,train,DAMIMAS,4,14,2,0,8,4,21,7
DAMIMAS_A21B_0335,train,DAMIMAS,4,4,2,0,2,0,13,9
DAMIMAS_A21B_0336,train,DAMIMAS,4,11,1,0,6,4,22,11
DAMIMAS_A21B_0337,train,DAMIMAS,4,8,0,0,6,2,16,8
DAMIMAS_A21B_0338,val,DAMIMAS,4,11,0,0,7,4,19,8
DAMIMAS_A21B_0339,train,DAMIMAS,4,8,2,3,3,0,13,5
