tree_id,split,domain,link_id,sideA,bboxIdA,sideB,bboxIdB,is_loop_across_sides
DAMIMAS_A21B_0003,train,DAMIMAS,lnk-9,3,b3,0,b1,0
DAMIMAS_A21B_0003,train,DAMIMAS,lnk-10,3,b2,0,b3,0
DAMIMAS_A21B_0004,train,DAMIMAS,lnk-0,0,b0,1,b1,0
DAMIMAS_A21B_0004,train,DAMIMAS,lnk-1,0,b1,1,b2,0
DAMIMAS_A21B_0004,train,DAMIMAS,lnk-2,1,b0,2,b2,0
DAMIMAS_A21B_0004,train,DAMIMAS,lnk-3,2,b0,3,b0,0
DAMIMAS_A21B_0004,train,DAMIMAS,lnk-4,2,b3,3,b1,0
DAMIMAS_A21B_0004,train,DAMIMAS,lnk-5,3,b2,0,b3,0
DAMIMAS_A21B_0004,train,DAMIMAS,lnk-6,3,b3,0,b2,0
DAMIMAS_A21B_0005,test,DAMIMAS,lnk-0,0,b2,1,b0,0
DAMIMAS_A21B_0005,test,DAMIMAS,lnk-1,1,b0,2,b3,0
DAMIMAS_A21B_0005,test,DAMIMAS,lnk-2,1,b1,2,b1,0
DAMIMAS_A21B_0005,test,DAMIMAS,lnk-3,2,b1,3,b4,0
DAMIMAS_A21B_0005,test,DAMIMAS,lnk-4,2,b0,3,b2,0
DAMIMAS_A21B_0005,test,DAMIMAS,lnk-5,3,b0,0,b3,0
DAMIMAS_A21B_0005,test,DAMIMAS,lnk-6,3,b1,0,b0,0
DAMIMAS_A21B_0006,train,DAMIMAS,lnk-0,0,b1,1,b2,0
DAMIMAS_A21B_0006,train,DAMIMAS,lnk-1,1,b2,2,b3,0
DAMIMAS_A21B_0006,train,DAMIMAS,lnk-2,0,b2,1,b0,0
DAMIMAS_A21B_0006,train,DAMIMAS,lnk-3,1,b0,2,b1,0
DAMIMAS_A21B_0006,train,DAMIMAS,lnk-4,2,b0,3,b0,0
DAMIMAS_A21B_0006,train,DAMIMAS,lnk-5,3,b3,0,b3,0
DAMIMAS_A21B_0006,train,DAMIMAS,lnk-6,3,b2,0,b0,0
DAMIMAS_A21B_0007,train,DAMIMAS,lnk-0,0,b1,1,b2,0
DAMIMAS_A21B_0007,train,DAMIMAS,lnk-1,0,b3,1,b4,0
DAMIMAS_A21B_0007,train,DAMIMAS,lnk-2,0,b2,1,b7,0
DAMIMAS_A21B_0007,train,DAMIMAS,lnk-3,1,b0,2,b0,0
DAMIMAS_A21B_0007,train,DAMIMAS,lnk-4,1,b1,2,b3,0
DAMIMAS_A21B_0007,train,DAMIMAS,lnk-5,1,b6,2,b6,0
DAMIMAS_A21B_0007,train,DAMIMAS,lnk-6,2,b1,3,b3,0
DAMIMAS_A21B_0007,train,DAMIMAS,lnk-7,2,b5,3,b4,0
DAMIMAS_A21B_0007,train,DAMIMAS,lnk-8,2,b4,3,b6,0
DAMIMAS_A21B_0007,train,DAMIMAS,lnk-9,3,b0,0,b0,0
DAMIMAS_A21B_0007,train,DAMIMAS,lnk-10,3,b1,0,b6,0
DAMIMAS_A21B_0007,train,DAMIMAS,lnk-11,3,b2,0,b4,0
DAMIMAS_A21B_0008,train,DAMIMAS,lnk-0,0,b2,1,b4,0
DAMIMAS_A21B_0008,train,DAMIMAS,lnk-1,0,b3,1,b3,0
DAMIMAS_A21B_0008,train,DAMIMAS,lnk-2,0,b1,1,b5,0
DAMIMAS_A21B_0008,train,DAMIMAS,lnk-3,1,b0,2,b0,0
DAMIMAS_A21B_0008,train,DAMIMAS,lnk-4,1,b1,2,b2,0
DAMIMAS_A21B_0008,train,DAMIMAS,lnk-5,1,b2,2,b4,0
DAMIMAS_A21B_0008,train,DAMIMAS,lnk-6,2,b1,3,b0,0
DAMIMAS_A21B_0008,train,DAMIMAS,lnk-7,2,b3,3,b2,0
DAMIMAS_A21B_0008,train,DAMIMAS,lnk-8,3,b1,0,b0,0
DAMIMAS_A21B_0009,train,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0009,train,DAMIMAS,lnk-1,1,b1,2,b0,0
DAMIMAS_A21B_0009,train,DAMIMAS,lnk-2,1,b2,2,b1,0
DAMIMAS_A21B_0009,train,DAMIMAS,lnk-3,2,b1,3,b2,0
DAMIMAS_A21B_0010,train,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0010,train,DAMIMAS,lnk-1,1,b0,2,b0,0
DAMIMAS_A21B_0010,train,DAMIMAS,lnk-2,0,b3,1,b1,0
DAMIMAS_A21B_0010,train,DAMIMAS,lnk-3,0,b4,1,b4,0
DAMIMAS_A21B_0010,train,DAMIMAS,lnk-4,1,b3,2,b2,0
DAMIMAS_A21B_0010,train,DAMIMAS,lnk-5,1,b2,2,b1,0
DAMIMAS_A21B_0010,train,DAMIMAS,lnk-6,2,b1,3,b3,0
DAMIMAS_A21B_0010,train,DAMIMAS,lnk-7,1,b5,2,b4,0
DAMIMAS_A21B_0010,train,DAMIMAS,lnk-8,2,b3,3,b2,0
DAMIMAS_A21B_0010,train,DAMIMAS,lnk-9,3,b0,0,b1,0
DAMIMAS_A21B_0010,train,DAMIMAS,lnk-10,3,b4,0,b5,0
DAMIMAS_A21B_0011,train,DAMIMAS,lnk-0,0,b1,1,b0,0
DAMIMAS_A21B_0011,train,DAMIMAS,lnk-1,3,b1,0,b1,0
DAMIMAS_A21B_0011,train,DAMIMAS,lnk-2,0,b2,1,b3,0
DAMIMAS_A21B_0011,train,DAMIMAS,lnk-3,1,b4,2,b0,0
DAMIMAS_A21B_0011,train,DAMIMAS,lnk-4,1,b1,2,b1,0
DAMIMAS_A21B_0011,train,DAMIMAS,lnk-5,2,b1,3,b2,0
DAMIMAS_A21B_0011,train,DAMIMAS,lnk-6,3,b0,0,b0,0
DAMIMAS_A21B_0012,test,DAMIMAS,lnk-0,0,b2,1,b0,0
DAMIMAS_A21B_0012,test,DAMIMAS,lnk-1,1,b1,2,b2,0
DAMIMAS_A21B_0012,test,DAMIMAS,lnk-2,2,b0,3,b0,0
DAMIMAS_A21B_0012,test,DAMIMAS,lnk-3,3,b0,0,b0,0
DAMIMAS_A21B_0012,test,DAMIMAS,lnk-4,2,b4,3,b3,0
DAMIMAS_A21B_0012,test,DAMIMAS,lnk-5,3,b3,0,b3,0
DAMIMAS_A21B_0012,test,DAMIMAS,lnk-6,3,b2,0,b1,0
DAMIMAS_A21B_0013,val,DAMIMAS,lnk-0,0,b1,1,b2,0
DAMIMAS_A21B_0013,val,DAMIMAS,lnk-1,1,b1,2,b0,0
DAMIMAS_A21B_0013,val,DAMIMAS,lnk-2,1,b0,2,b1,0
DAMIMAS_A21B_0013,val,DAMIMAS,lnk-3,1,b3,2,b2,0
DAMIMAS_A21B_0013,val,DAMIMAS,lnk-4,2,b4,3,b0,0
DAMIMAS_A21B_0013,val,DAMIMAS,lnk-5,2,b3,3,b3,0
DAMIMAS_A21B_0013,val,DAMIMAS,lnk-6,3,b1,0,b2,0
DAMIMAS_A21B_0013,val,DAMIMAS,lnk-7,3,b2,0,b3,0
DAMIMAS_A21B_0014,test,DAMIMAS,lnk-0,0,b1,1,b1,0
DAMIMAS_A21B_0014,test,DAMIMAS,lnk-1,0,b4,1,b3,0
DAMIMAS_A21B_0014,test,DAMIMAS,lnk-2,0,b0,1,b0,0
DAMIMAS_A21B_0014,test,DAMIMAS,lnk-3,1,b2,2,b3,0
DAMIMAS_A21B_0014,test,DAMIMAS,lnk-4,1,b4,2,b2,0
DAMIMAS_A21B_0014,test,DAMIMAS,lnk-5,2,b1,3,b1,0
DAMIMAS_A21B_0014,test,DAMIMAS,lnk-6,2,b0,3,b0,0
DAMIMAS_A21B_0014,test,DAMIMAS,lnk-7,3,b3,0,b2,0
DAMIMAS_A21B_0014,test,DAMIMAS,lnk-8,3,b2,0,b3,0
DAMIMAS_A21B_0015,test,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0015,test,DAMIMAS,lnk-1,1,b0,2,b0,0
DAMIMAS_A21B_0015,test,DAMIMAS,lnk-2,0,b5,1,b5,0
DAMIMAS_A21B_0015,test,DAMIMAS,lnk-3,0,b2,1,b3,0
DAMIMAS_A21B_0015,test,DAMIMAS,lnk-4,0,b1,1,b1,0
DAMIMAS_A21B_0015,test,DAMIMAS,lnk-5,1,b4,2,b4,0
DAMIMAS_A21B_0015,test,DAMIMAS,lnk-6,1,b2,2,b1,0
DAMIMAS_A21B_0015,test,DAMIMAS,lnk-7,2,b2,3,b2,0
DAMIMAS_A21B_0015,test,DAMIMAS,lnk-8,2,b3,3,b0,0
DAMIMAS_A21B_0015,test,DAMIMAS,lnk-9,2,b5,3,b3,0
DAMIMAS_A21B_0015,test,DAMIMAS,lnk-10,3,b1,0,b3,0
DAMIMAS_A21B_0015,test,DAMIMAS,lnk-11,3,b6,0,b4,0
DAMIMAS_A21B_0015,test,DAMIMAS,lnk-12,3,b5,0,b6,0
DAMIMAS_A21B_0016,train,DAMIMAS,lnk-0,0,b1,1,b0,0
DAMIMAS_A21B_0016,train,DAMIMAS,lnk-1,1,b1,2,b0,0
DAMIMAS_A21B_0016,train,DAMIMAS,lnk-2,3,b1,0,b0,0
DAMIMAS_A21B_0017,train,DAMIMAS,lnk-0,0,b0,1,b2,0
DAMIMAS_A21B_0017,train,DAMIMAS,lnk-1,0,b2,1,b1,0
DAMIMAS_A21B_0017,train,DAMIMAS,lnk-2,1,b0,2,b2,0
DAMIMAS_A21B_0017,train,DAMIMAS,lnk-3,2,b0,3,b0,0
DAMIMAS_A21B_0017,train,DAMIMAS,lnk-4,2,b3,3,b2,0
DAMIMAS_A21B_0017,train,DAMIMAS,lnk-5,3,b2,0,b4,0
DAMIMAS_A21B_0017,train,DAMIMAS,lnk-6,1,b3,2,b1,0
DAMIMAS_A21B_0017,train,DAMIMAS,lnk-7,3,b1,0,b1,0
DAMIMAS_A21B_0017,train,DAMIMAS,lnk-8,3,b3,0,b3,0
DAMIMAS_A21B_0018,train,DAMIMAS,lnk-0,0,b2,1,b2,0
DAMIMAS_A21B_0018,train,DAMIMAS,lnk-1,0,b1,1,b0,0
DAMIMAS_A21B_0018,train,DAMIMAS,lnk-2,1,b0,2,b0,0
DAMIMAS_A21B_0018,train,DAMIMAS,lnk-3,1,b1,2,b2,0
DAMIMAS_A21B_0018,train,DAMIMAS,lnk-4,2,b1,3,b1,0
DAMIMAS_A21B_0018,train,DAMIMAS,lnk-5,3,b0,0,b0,0
DAMIMAS_A21B_0019,train,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0019,train,DAMIMAS,lnk-1,0,b2,1,b2,0
DAMIMAS_A21B_0019,train,DAMIMAS,lnk-2,0,b3,1,b6,0
DAMIMAS_A21B_0019,train,DAMIMAS,lnk-3,0,b4,1,b5,0
DAMIMAS_A21B_0019,train,DAMIMAS,lnk-4,1,b3,2,b1,0
DAMIMAS_A21B_0019,train,DAMIMAS,lnk-5,1,b1,2,b0,0
DAMIMAS_A21B_0019,train,DAMIMAS,lnk-6,1,b4,2,b4,0
DAMIMAS_A21B_0019,train,DAMIMAS,lnk-7,2,b3,3,b3,0
DAMIMAS_A21B_0019,train,DAMIMAS,lnk-8,2,b2,3,b0,0
DAMIMAS_A21B_0019,train,DAMIMAS,lnk-9,2,b5,3,b4,0
DAMIMAS_A21B_0019,train,DAMIMAS,lnk-10,3,b5,0,b5,0
DAMIMAS_A21B_0019,train,DAMIMAS,lnk-11,3,b1,0,b1,0
DAMIMAS_A21B_0020,train,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0020,train,DAMIMAS,lnk-1,1,b1,2,b2,0
DAMIMAS_A21B_0020,train,DAMIMAS,lnk-2,1,b2,2,b3,0
DAMIMAS_A21B_0020,train,DAMIMAS,lnk-3,2,b1,3,b2,0
DAMIMAS_A21B_0020,train,DAMIMAS,lnk-4,2,b0,3,b1,0
DAMIMAS_A21B_0020,train,DAMIMAS,lnk-5,3,b0,0,b3,0
DAMIMAS_A21B_0020,train,DAMIMAS,lnk-6,3,b3,0,b2,0
DAMIMAS_A21B_0021,test,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0021,test,DAMIMAS,lnk-1,1,b1,2,b0,0
DAMIMAS_A21B_0021,test,DAMIMAS,lnk-2,1,b3,2,b5,0
DAMIMAS_A21B_0021,test,DAMIMAS,lnk-3,2,b1,3,b0,0
DAMIMAS_A21B_0021,test,DAMIMAS,lnk-4,2,b2,3,b2,0
DAMIMAS_A21B_0021,test,DAMIMAS,lnk-5,2,b3,3,b1,0
DAMIMAS_A21B_0021,test,DAMIMAS,lnk-6,3,b4,0,b2,0
DAMIMAS_A21B_0021,test,DAMIMAS,lnk-7,3,b3,0,b1,0
DAMIMAS_A21B_0021,test,DAMIMAS,lnk-8,3,b5,0,b3,0
DAMIMAS_A21B_0022,test,DAMIMAS,lnk-0,0,b4,1,b1,0
DAMIMAS_A21B_0022,test,DAMIMAS,lnk-1,0,b0,1,b2,0
DAMIMAS_A21B_0022,test,DAMIMAS,lnk-2,0,b2,1,b3,0
DAMIMAS_A21B_0022,test,DAMIMAS,lnk-3,1,b0,2,b2,0
DAMIMAS_A21B_0022,test,DAMIMAS,lnk-4,1,b4,2,b0,0
DAMIMAS_A21B_0022,test,DAMIMAS,lnk-5,2,b1,3,b0,0
DAMIMAS_A21B_0022,test,DAMIMAS,lnk-6,3,b1,0,b1,0
DAMIMAS_A21B_0022,test,DAMIMAS,lnk-7,3,b2,0,b3,0
DAMIMAS_A21B_0023,train,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0023,train,DAMIMAS,lnk-1,0,b1,1,b1,0
DAMIMAS_A21B_0023,train,DAMIMAS,lnk-2,1,b3,2,b0,0
DAMIMAS_A21B_0023,train,DAMIMAS,lnk-3,1,b2,2,b1,0
DAMIMAS_A21B_0023,train,DAMIMAS,lnk-4,2,b3,3,b0,0
DAMIMAS_A21B_0023,train,DAMIMAS,lnk-5,2,b4,3,b1,0
DAMIMAS_A21B_0023,train,DAMIMAS,lnk-6,3,b3,0,b2,0
DAMIMAS_A21B_0024,train,DAMIMAS,lnk-0,0,b4,1,b4,0
DAMIMAS_A21B_0024,train,DAMIMAS,lnk-1,3,b1,0,b4,0
DAMIMAS_A21B_0024,train,DAMIMAS,lnk-2,0,b0,1,b1,0
DAMIMAS_A21B_0024,train,DAMIMAS,lnk-3,1,b0,2,b1,0
DAMIMAS_A21B_0024,train,DAMIMAS,lnk-4,1,b3,2,b3,0
DAMIMAS_A21B_0024,train,DAMIMAS,lnk-5,2,b0,3,b0,0
DAMIMAS_A21B_0024,train,DAMIMAS,lnk-6,3,b0,0,b1,0
DAMIMAS_A21B_0024,train,DAMIMAS,lnk-7,2,b4,3,b4,0
DAMIMAS_A21B_0024,train,DAMIMAS,lnk-8,3,b3,0,b3,0
DAMIMAS_A21B_0024,train,DAMIMAS,lnk-9,3,b2,0,b2,0
DAMIMAS_A21B_0025,train,DAMIMAS,lnk-0,0,b1,1,b2,0
DAMIMAS_A21B_0025,train,DAMIMAS,lnk-1,0,b0,1,b0,0
DAMIMAS_A21B_0025,train,DAMIMAS,lnk-2,1,b0,2,b0,0
DAMIMAS_A21B_0025,train,DAMIMAS,lnk-3,2,b2,3,b1,0
DAMIMAS_A21B_0025,train,DAMIMAS,lnk-4,2,b1,3,b2,0
DAMIMAS_A21B_0026,val,DAMIMAS,lnk-0,0,b2,1,b1,0
DAMIMAS_A21B_0026,val,DAMIMAS,lnk-1,0,b1,1,b2,0
DAMIMAS_A21B_0026,val,DAMIMAS,lnk-2,1,b0,2,b0,0
DAMIMAS_A21B_0026,val,DAMIMAS,lnk-3,2,b1,3,b2,0
DAMIMAS_A21B_0026,val,DAMIMAS,lnk-4,2,b2,3,b1,0
DAMIMAS_A21B_0026,val,DAMIMAS,lnk-5,3,b0,0,b0,0
DAMIMAS_A21B_0027,train,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0027,train,DAMIMAS,lnk-1,3,b0,0,b0,0
DAMIMAS_A21B_0027,train,DAMIMAS,lnk-2,0,b1,1,b1,0
DAMIMAS_A21B_0027,train,DAMIMAS,lnk-3,0,b3,1,b4,0
DAMIMAS_A21B_0027,train,DAMIMAS,lnk-4,1,b2,2,b0,0
DAMIMAS_A21B_0027,train,DAMIMAS,lnk-5,1,b6,2,b4,0
DAMIMAS_A21B_0027,train,DAMIMAS,lnk-6,2,b1,3,b3,0
DAMIMAS_A21B_0027,train,DAMIMAS,lnk-7,2,b2,3,b4,0
DAMIMAS_A21B_0027,train,DAMIMAS,lnk-8,2,b3,3,b2,0
DAMIMAS_A21B_0027,train,DAMIMAS,lnk-9,3,b1,0,b2,0
DAMIMAS_A21B_0028,val,DAMIMAS,lnk-0,0,b4,1,b0,0
DAMIMAS_A21B_0028,val,DAMIMAS,lnk-1,0,b3,1,b4,0
DAMIMAS_A21B_0028,val,DAMIMAS,lnk-2,1,b1,2,b0,0
DAMIMAS_A21B_0028,val,DAMIMAS,lnk-3,1,b5,2,b5,0
DAMIMAS_A21B_0028,val,DAMIMAS,lnk-4,1,b2,2,b1,0
DAMIMAS_A21B_0028,val,DAMIMAS,lnk-5,1,b3,2,b4,0
DAMIMAS_A21B_0028,val,DAMIMAS,lnk-6,2,b4,3,b0,0
DAMIMAS_A21B_0028,val,DAMIMAS,lnk-7,2,b2,3,b3,0
DAMIMAS_A21B_0028,val,DAMIMAS,lnk-8,3,b1,0,b1,0
DAMIMAS_A21B_0029,train,DAMIMAS,lnk-0,1,b4,2,b0,0
DAMIMAS_A21B_0029,train,DAMIMAS,lnk-1,0,b4,1,b4,0
DAMIMAS_A21B_0029,train,DAMIMAS,lnk-2,0,b3,1,b2,0
DAMIMAS_A21B_0029,train,DAMIMAS,lnk-3,0,b2,1,b3,0
DAMIMAS_A21B_0029,train,DAMIMAS,lnk-4,1,b5,2,b1,0
DAMIMAS_A21B_0029,train,DAMIMAS,lnk-5,1,b1,2,b4,0
DAMIMAS_A21B_0029,train,DAMIMAS,lnk-6,2,b4,3,b5,0
DAMIMAS_A21B_0029,train,DAMIMAS,lnk-7,1,b0,2,b2,0
DAMIMAS_A21B_0029,train,DAMIMAS,lnk-8,2,b2,3,b3,0
DAMIMAS_A21B_0029,train,DAMIMAS,lnk-9,2,b3,3,b4,0
DAMIMAS_A21B_0029,train,DAMIMAS,lnk-10,3,b1,0,b5,0
DAMIMAS_A21B_0029,train,DAMIMAS,lnk-11,3,b2,0,b1,0
DAMIMAS_A21B_0029,train,DAMIMAS,lnk-12,3,b0,0,b0,0
DAMIMAS_A21B_0030,train,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0030,train,DAMIMAS,lnk-1,1,b2,2,b2,0
DAMIMAS_A21B_0030,train,DAMIMAS,lnk-2,2,b1,3,b0,0
DAMIMAS_A21B_0030,train,DAMIMAS,lnk-3,2,b0,3,b1,0
DAMIMAS_A21B_0030,train,DAMIMAS,lnk-4,3,b1,0,b1,0
DAMIMAS_A21B_0031,train,DAMIMAS,lnk-0,0,b2,1,b1,0
DAMIMAS_A21B_0031,train,DAMIMAS,lnk-1,0,b1,1,b0,0
DAMIMAS_A21B_0031,train,DAMIMAS,lnk-2,1,b0,2,b2,0
DAMIMAS_A21B_0031,train,DAMIMAS,lnk-3,0,b4,1,b3,0
DAMIMAS_A21B_0031,train,DAMIMAS,lnk-4,1,b2,2,b1,0
DAMIMAS_A21B_0031,train,DAMIMAS,lnk-5,2,b0,3,b0,0
DAMIMAS_A21B_0032,train,DAMIMAS,lnk-0,0,b2,1,b3,0
DAMIMAS_A21B_0032,train,DAMIMAS,lnk-1,0,b1,1,b1,0
DAMIMAS_A21B_0032,train,DAMIMAS,lnk-2,1,b0,2,b5,0
DAMIMAS_A21B_0032,train,DAMIMAS,lnk-3,1,b2,2,b4,0
DAMIMAS_A21B_0032,train,DAMIMAS,lnk-4,1,b4,2,b0,0
DAMIMAS_A21B_0032,train,DAMIMAS,lnk-5,2,b3,3,b4,0
DAMIMAS_A21B_0032,train,DAMIMAS,lnk-6,2,b2,3,b3,0
DAMIMAS_A21B_0032,train,DAMIMAS,lnk-7,2,b1,3,b2,0
DAMIMAS_A21B_0032,train,DAMIMAS,lnk-8,3,b0,0,b0,0
DAMIMAS_A21B_0032,train,DAMIMAS,lnk-9,3,b5,0,b4,0
DAMIMAS_A21B_0032,train,DAMIMAS,lnk-10,3,b1,0,b3,0
DAMIMAS_A21B_0033,train,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0033,train,DAMIMAS,lnk-1,0,b1,1,b3,0
DAMIMAS_A21B_0033,train,DAMIMAS,lnk-2,1,b1,2,b0,0
DAMIMAS_A21B_0033,train,DAMIMAS,lnk-3,1,b2,2,b1,0
DAMIMAS_A21B_0033,train,DAMIMAS,lnk-4,2,b4,3,b3,0
DAMIMAS_A21B_0033,train,DAMIMAS,lnk-5,2,b2,3,b2,0
DAMIMAS_A21B_0033,train,DAMIMAS,lnk-6,3,b0,0,b3,0
DAMIMAS_A21B_0033,train,DAMIMAS,lnk-7,3,b1,0,b2,0
DAMIMAS_A21B_0034,train,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0034,train,DAMIMAS,lnk-1,0,b1,1,b1,0
DAMIMAS_A21B_0034,train,DAMIMAS,lnk-2,1,b2,2,b0,0
DAMIMAS_A21B_0034,train,DAMIMAS,lnk-3,2,b2,3,b0,0
DAMIMAS_A21B_0034,train,DAMIMAS,lnk-4,2,b1,3,b1,0
DAMIMAS_A21B_0034,train,DAMIMAS,lnk-5,2,b3,3,b3,0
DAMIMAS_A21B_0035,train,DAMIMAS,lnk-0,0,b0,1,b3,0
DAMIMAS_A21B_0035,train,DAMIMAS,lnk-1,0,b2,1,b2,0
DAMIMAS_A21B_0035,train,DAMIMAS,lnk-2,1,b0,2,b1,0
DAMIMAS_A21B_0035,train,DAMIMAS,lnk-3,2,b0,3,b1,0
DAMIMAS_A21B_0036,train,DAMIMAS,lnk-0,0,b0,1,b1,0
DAMIMAS_A21B_0036,train,DAMIMAS,lnk-1,0,b1,1,b2,0
DAMIMAS_A21B_0036,train,DAMIMAS,lnk-2,1,b0,2,b3,0
DAMIMAS_A21B_0036,train,DAMIMAS,lnk-3,2,b1,3,b3,0
DAMIMAS_A21B_0036,train,DAMIMAS,lnk-4,2,b0,3,b2,0
DAMIMAS_A21B_0036,train,DAMIMAS,lnk-5,3,b1,0,b3,0
DAMIMAS_A21B_0036,train,DAMIMAS,lnk-6,3,b0,0,b2,0
DAMIMAS_A21B_0037,val,DAMIMAS,lnk-0,0,b1,1,b0,0
DAMIMAS_A21B_0037,val,DAMIMAS,lnk-1,0,b2,1,b2,0
DAMIMAS_A21B_0037,val,DAMIMAS,lnk-2,1,b3,2,b4,0
DAMIMAS_A21B_0037,val,DAMIMAS,lnk-3,1,b4,2,b1,0
DAMIMAS_A21B_0037,val,DAMIMAS,lnk-4,2,b1,3,b0,0
DAMIMAS_A21B_0037,val,DAMIMAS,lnk-5,1,b1,2,b0,0
DAMIMAS_A21B_0037,val,DAMIMAS,lnk-6,2,b2,3,b3,0
DAMIMAS_A21B_0037,val,DAMIMAS,lnk-7,2,b3,3,b2,0
DAMIMAS_A21B_0037,val,DAMIMAS,lnk-8,3,b1,0,b0,0
DAMIMAS_A21B_0037,val,DAMIMAS,lnk-9,3,b4,0,b4,0
DAMIMAS_A21B_0038,val,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0038,val,DAMIMAS,lnk-1,0,b3,1,b3,0
DAMIMAS_A21B_0038,val,DAMIMAS,lnk-2,3,b2,0,b3,0
DAMIMAS_A21B_0038,val,DAMIMAS,lnk-3,0,b1,1,b2,0
DAMIMAS_A21B_0038,val,DAMIMAS,lnk-4,1,b4,2,b2,0
DAMIMAS_A21B_0038,val,DAMIMAS,lnk-5,1,b1,2,b1,0
DAMIMAS_A21B_0038,val,DAMIMAS,lnk-6,2,b0,3,b0,0
DAMIMAS_A21B_0038,val,DAMIMAS,lnk-7,3,b3,0,b2,0
DAMIMAS_A21B_0038,val,DAMIMAS,lnk-8,3,b4,0,b4,0
DAMIMAS_A21B_0039,test,DAMIMAS,lnk-0,0,b1,1,b0,0
DAMIMAS_A21B_0039,test,DAMIMAS,lnk-1,0,b2,1,b1,0
DAMIMAS_A21B_0039,test,DAMIMAS,lnk-2,2,b0,3,b0,0
DAMIMAS_A21B_0039,test,DAMIMAS,lnk-3,1,b2,2,b3,0
DAMIMAS_A21B_0039,test,DAMIMAS,lnk-4,1,b3,2,b2,0
DAMIMAS_A21B_0039,test,DAMIMAS,lnk-5,3,b2,0,b3,0
DAMIMAS_A21B_0040,train,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0040,train,DAMIMAS,lnk-1,0,b5,1,b4,0
DAMIMAS_A21B_0040,train,DAMIMAS,lnk-2,0,b4,1,b1,0
