method,tree_id,split,domain,ok,MAE,error_sum,gt_B1,gt_B2,gt_B3,gt_B4,pred_B1,pred_B2,pred_B3,pred_B4,err_B1,err_B2,err_B3,err_B4,delta_B1,delta_B2,delta_B3,delta_B4
M20_weight_visibility_grid,DAMIMAS_A21B_0088,test,DAMIMAS,True,0.0,0,0,4,5,1,0,4,5,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0089,test,DAMIMAS,True,0.5,2,0,1,7,3,0,1,8,4,0,0,1,1,0,0,1,1
M20_weight_visibility_grid,DAMIMAS_A21B_0090,train,DAMIMAS,True,0.5,2,0,1,2,1,0,2,3,1,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0091,train,DAMIMAS,True,0.0,0,0,3,7,0,0,3,7,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0092,test,DAMIMAS,True,0.25,1,0,4,5,3,0,4,4,3,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0093,train,DAMIMAS,True,0.25,1,0,0,7,2,0,0,8,2,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0094,test,DAMIMAS,True,0.25,1,1,0,7,7,1,0,7,6,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0095,train,DAMIMAS,True,0.0,0,1,4,3,0,1,4,3,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0096,test,DAMIMAS,True,0.25,1,2,0,2,6,2,0,2,5,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0097,train,DAMIMAS,True,0.0,0,1,2,6,3,1,2,6,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0098,train,DAMIMAS,True,0.0,0,0,1,4,5,0,1,4,5,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0099,train,DAMIMAS,True,0.25,1,2,4,5,1,3,4,5,1,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0100,val,DAMIMAS,True,0.25,1,1,2,5,7,1,2,4,7,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0101,train,DAMIMAS,True,0.25,1,1,3,3,0,1,4,3,0,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0102,train,DAMIMAS,False,0.5,2,0,0,7,1,0,0,9,1,0,0,2,0,0,0,2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0103,val,DAMIMAS,True,0.25,1,1,5,11,0,1,4,11,0,0,1,0,0,0,-1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0104,train,DAMIMAS,True,0.25,1,2,3,5,5,2,3,5,4,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0105,train,DAMIMAS,True,0.25,1,2,2,8,1,2,2,7,1,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0106,test,DAMIMAS,True,0.0,0,2,0,5,4,2,0,5,4,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0107,val,DAMIMAS,True,0.75,3,3,4,10,2,3,3,9,1,0,1,1,1,0,-1,-1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0108,train,DAMIMAS,True,0.25,1,1,3,4,1,2,3,4,1,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0109,train,DAMIMAS,True,0.5,2,1,2,5,3,1,3,5,2,0,1,0,1,0,1,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0110,train,DAMIMAS,True,0.25,1,0,0,2,2,0,0,2,3,0,0,0,1,0,0,0,1
M20_weight_visibility_grid,DAMIMAS_A21B_0111,train,DAMIMAS,True,0.25,1,0,1,8,3,0,1,9,3,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0112,train,DAMIMAS,True,0.0,0,0,2,4,0,0,2,4,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0113,train,DAMIMAS,True,0.0,0,0,1,6,1,0,1,6,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0114,train,DAMIMAS,True,0.25,1,0,1,3,0,0,1,4,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0115,train,DAMIMAS,True,0.0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0116,val,DAMIMAS,True,0.25,1,0,2,5,5,0,2,6,5,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0117,val,DAMIMAS,True,0.0,0,0,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0118,train,DAMIMAS,True,0.5,2,1,1,2,7,2,1,2,6,1,0,0,1,1,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0119,train,DAMIMAS,True,0.75,3,2,4,2,0,3,5,3,0,1,1,1,0,1,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0120,train,DAMIMAS,True,0.5,2,1,0,1,3,2,0,1,2,1,0,0,1,1,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0121,train,DAMIMAS,True,0.25,1,0,3,5,2,0,3,6,2,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0122,train,DAMIMAS,True,0.25,1,1,1,1,5,1,1,1,4,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0123,train,DAMIMAS,True,0.0,0,0,6,3,0,0,6,3,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0124,train,DAMIMAS,True,0.25,1,0,1,6,2,0,1,7,2,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0125,train,DAMIMAS,True,0.5,2,1,2,5,1,1,3,6,1,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0126,train,DAMIMAS,True,0.5,2,2,0,4,4,3,0,5,4,1,0,1,0,1,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0127,train,DAMIMAS,True,0.25,1,0,2,5,5,0,2,6,5,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0128,train,DAMIMAS,True,0.25,1,0,1,4,3,0,1,5,3,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0129,train,DAMIMAS,True,0.0,0,0,0,4,1,0,0,4,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0130,train,DAMIMAS,True,0.25,1,1,1,2,5,1,1,2,4,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0131,train,DAMIMAS,True,0.0,0,0,1,6,2,0,1,6,2,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0132,train,DAMIMAS,True,0.5,2,1,1,1,6,2,1,1,5,1,0,0,1,1,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0133,train,DAMIMAS,False,0.5,2,0,0,7,2,0,0,9,2,0,0,2,0,0,0,2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0134,train,DAMIMAS,True,0.5,2,0,2,4,0,0,3,5,0,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0135,train,DAMIMAS,True,0.25,1,0,5,3,2,0,6,3,2,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0136,train,DAMIMAS,True,0.5,2,0,0,7,3,0,0,8,4,0,0,1,1,0,0,1,1
M20_weight_visibility_grid,DAMIMAS_A21B_0137,train,DAMIMAS,True,0.25,1,0,2,8,0,0,2,9,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0138,train,DAMIMAS,True,0.5,2,0,1,3,2,0,2,4,2,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0139,train,DAMIMAS,False,0.75,3,0,2,5,1,0,2,7,2,0,0,2,1,0,0,2,1
M20_weight_visibility_grid,DAMIMAS_A21B_0140,train,DAMIMAS,True,0.25,1,1,3,4,5,1,3,4,6,0,0,0,1,0,0,0,1
M20_weight_visibility_grid,DAMIMAS_A21B_0141,train,DAMIMAS,False,0.75,3,0,0,7,2,0,0,9,3,0,0,2,1,0,0,2,1
M20_weight_visibility_grid,DAMIMAS_A21B_0142,train,DAMIMAS,True,0.0,0,0,1,3,1,0,1,3,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0143,train,DAMIMAS,False,0.5,2,0,0,7,1,0,0,9,1,0,0,2,0,0,0,2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0144,val,DAMIMAS,True,0.25,1,0,1,6,2,0,1,7,2,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0145,val,DAMIMAS,True,0.0,0,1,0,5,4,1,0,5,4,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0146,val,DAMIMAS,True,0.5,2,0,3,6,2,0,4,7,2,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0147,val,DAMIMAS,False,0.5,2,0,2,8,2,0,2,10,2,0,0,2,0,0,0,2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0148,val,DAMIMAS,True,0.0,0,0,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0149,val,DAMIMAS,True,0.5,2,0,1,9,1,0,2,10,1,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0150,val,DAMIMAS,True,0.75,3,0,2,8,4,0,3,9,3,0,1,1,1,0,1,1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0151,val,DAMIMAS,False,0.5,2,0,1,5,4,0,1,7,4,0,0,2,0,0,0,2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0152,val,DAMIMAS,False,0.75,3,0,2,5,3,0,3,7,3,0,1,2,0,0,1,2,0
M20_weight_visibility_grid,DAMIMAS_A21B_0153,val,DAMIMAS,True,0.25,1,0,0,7,1,0,0,8,1,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0154,val,DAMIMAS,True,0.25,1,0,2,4,7,0,2,4,8,0,0,0,1,0,0,0,1
M20_weight_visibility_grid,DAMIMAS_A21B_0155,val,DAMIMAS,True,0.25,1,1,3,5,3,1,4,5,3,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0156,val,DAMIMAS,True,0.5,2,1,1,4,3,1,2,5,3,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0157,val,DAMIMAS,True,0.5,2,0,3,7,4,0,4,7,3,0,1,0,1,0,1,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0158,val,DAMIMAS,True,0.0,0,0,2,5,3,0,2,5,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0159,val,DAMIMAS,True,0.0,0,1,0,1,3,1,0,1,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0160,val,DAMIMAS,True,0.5,2,0,3,3,0,0,4,4,0,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0161,val,DAMIMAS,True,0.25,1,0,0,10,4,0,0,10,3,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0162,val,DAMIMAS,False,1.0,4,0,0,4,4,0,0,7,3,0,0,3,1,0,0,3,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0163,val,DAMIMAS,True,0.5,2,1,1,8,5,2,1,9,5,1,0,1,0,1,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0164,val,DAMIMAS,True,0.0,0,0,1,6,5,0,1,6,5,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0165,val,DAMIMAS,True,0.5,2,0,3,5,3,0,4,6,3,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0166,val,DAMIMAS,True,0.5,2,1,1,6,2,1,2,6,1,0,1,0,1,0,1,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0167,val,DAMIMAS,True,0.25,1,2,2,4,3,2,3,4,3,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0168,val,DAMIMAS,True,0.75,3,1,1,4,6,1,2,5,5,0,1,1,1,0,1,1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0169,val,DAMIMAS,True,0.25,1,0,1,12,3,0,1,11,3,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0170,val,DAMIMAS,True,0.5,2,1,1,6,5,1,1,5,6,0,0,1,1,0,0,-1,1
M20_weight_visibility_grid,DAMIMAS_A21B_0171,val,DAMIMAS,True,0.0,0,0,0,7,1,0,0,7,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0172,val,DAMIMAS,True,0.0,0,1,0,6,4,1,0,6,4,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0173,val,DAMIMAS,True,0.5,2,1,1,9,1,1,2,10,1,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0174,val,DAMIMAS,True,0.0,0,0,2,9,4,0,2,9,4,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0175,val,DAMIMAS,False,0.5,2,1,3,6,0,1,3,8,0,0,0,2,0,0,0,2,0
